req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 0, 0, 1, 1
3, 0, 0, 0, 1, 1
4, 0, 0, 1, 1, 1
5, 0, 0, 2, 1, 1
6, 0, 1, 2, 1, 2
7, 0, 2, 0, 2, 4
8, 0, 4, 0, 1, 5
9, 0, 1, 1, 2, 3
10, 0, 2, 2, 1, 3
11, 0, 1, 1, 2, 3
12, 0, 3, 1, 1, 4
13, 0, 3, 2, 1, 4
14, 0, 5, 0, 1, 6
15, 0, 4, 2, 18, 22
16, 0, 4, 1, 1, 5
17, 0, 5, 1, 143, 148
18, 0, 6, 0, 136, 142
19, 0, 22, 2, 137, 159
20, 0, 142, 0, 143, 285
